Timestamp,Put in your MTurk ID to consent.,undocumented,female,hispanic,white,What is your date of birth? Give month and year only,abc,birthyear,What is your annual income (as you would report it in the Census)? ,income,What is the highest degree or level of school you have completed? ,educ,In which US State do you live?,region0,regionx,born_in_usa,born_usa,"if you are really paying attention, click strongly agree.",attention,Do you think the number of illegal immigrants to America nowadays should be... ,letin,"In the long run, do you think that people who are illegally immigrating to the United States today will make American society better, will make American society worse, or do you think that today's illegal immigrants won't affect American society one way or another? ",immimp,"Now I'm going to read you a series of statements and would like to get your reaction to them. After I read each statement, please tell me if you strongly agree, agree, neither agree nor disagree, disagree, or strongly disagree with the statement:                                                              “Illegal immigrants are getting too demanding in their push for equal rights.”"," “The Irish, Italians, Jews, and many other minorities overcame prejudice and worked their way up. Today's illegal immigrants should do the same without any special favors.”",“English will be threatened if other languages are frequently used in large illegal immigrant communities in the U.S.”,immrights,immfavor,immlang,immigrant_crimes,immigrant_ideas,immigrant_jobs,immigrant_growth,immigrant_united,immcrime,immideas,immjob,immgrowth,immunit,"“Recently, there have been several investigative reports regarding the condition of illegal immigrants being held in detention centers around the United States. The reports indicate that some detainees are held for long periods of time under inhumane conditions, lacking sufficient nutrition, proper sanitary facilities, access to legal counseling, or even contact with family members. The reports also discuss cases of medical negligence concerning the treatment of detainees with serious health problems. In one case, a detainee told authorities he was suffering from severe chest pain, profound shortness of breath, and dizziness, and asked for immediate medical attention. However, these situations require supervised transportation to a hospital several miles away from the detention center. In response, detention center officials denied the detainee this medical service because they considered him to be a flight risk. The officials said they had a reasonable cause to deny medical attention outside the facility. The detainee, on the other hand, said that the denial of medical attention was unwarranted and that his health was continuing to deteriorate.” Do you think the government should transport this illegal migrant to the hospital, at the risk of enabling him to escape? ",transport,With which U.S. party do you identify with?,party,media,"How much do you identify as conservative, moderate, or liberal?",polview,"“It is better to live in an orderly in which the laws are vigorously enforced than to give people too much freedom.” Do you agree strongly, agree somewhat, disagree somewhat, or disagree strongly with this statement?""",auth,"""white people""","""Latino people"" ",ethnocentrism, Question Is there anything else you would like to tell us about this survey? 
2019/08/07 11:36:22 PM GMT+8,ANNVWKERLZG9A,0,0,0,0,Aug-77,1977,1977,"$25,001-50,000",37500,"Master’s Degree (for example MA, MS, Meng, Med, MSW, MBA),",18,California,west,3,Yes,1,Strongly agree,1,Increased a lot.,2,Better,1,Strongly Disagree,Neither agree nor disagree,Strongly disagree,-2,0,-2,Not likely at all,Very likely,Not too likely,Very likely,Not too likely,-2,2,-1,2,-1,Yes,1,Democrat,-1,2,Liberal,-2,Disagree strongly,-2,5,7,-2,98765
2019/08/07 11:36:41 PM GMT+8,A2541C8MY0BYV3,0,0,0,1,Dec-87,1987,1987,"$25,001-50,000",37500,"Associate’s degree (for example: AA, AS)",14,Florida,south,1,Yes,1,Strongly agree,1,Remain the same as it is.,0,Won’t affect American society one way or another,0,Disagree,Neither agree nor disagree,Disagree,-1,0,-1,Not too likely,Very likely,Not likely at all,Somewhat likely,Not likely at all,-1,2,-2,1,-2,Yes,1,Independent,0,4,Moderate,0,Disagree,-1,9,9,0,98765
2019/08/07 11:36:54 PM GMT+8,A20N1NK5X5S88F,0,0,1,1,Jun-86,1986,1986,"$75,001-100,000",87500,Regular high school diploma,18,new york,northeast,0,Yes,1,Strongly agree,1,Reduced a lot.,-2,Worse,-1,Strongly agree,Strongly agree,Strongly agree,2,2,2,Very likely,Don't know,Very likely,Don't know,Very likely,2,0,2,0,2,No,0,Independent,0,4,Moderate,0,Agree strongly,2,1,10,-9,98765
2019/08/07 11:38:05 PM GMT+8,A3PIRKF57QSWMS,0,1,0,1,Sep-82,1982,1982,"$25,001-50,000",37500,"Bachelor’s degree (for example: BA, BS)",16,Oregon,west,3,Yes,1,Strongly agree,1,Increased a little.,1,Better,1,Disagree,Strongly disagree,Strongly disagree,-1,-2,-2,Not too likely,Somewhat likely,Not too likely,Very likely,Somewhat likely,-1,1,-1,2,1,Yes,1,Democrat,-1,2,Slightly liberal,-1,Disagree,-1,8,8,0,98765
2019/08/07 11:39:27 PM GMT+8,AIEKCWYZTS41V,0,0,0,0,05 1985,1985,1985,"$0-25,000",12500,"Some college credit, but less than 1 year of college credit",12,NC,south,1,Yes,1,Strongly agree,1,Increased a lot.,2,Better,1,Strongly Disagree,Strongly disagree,Strongly disagree,-2,-2,-2,Not likely at all,Somewhat likely,Not likely at all,Somewhat likely,Not likely at all,-2,1,-2,1,-2,Yes,1,Democrat,-1,2,Liberal,-2,Agree,1,7,9,-2,98765
2019/08/07 11:39:53 PM GMT+8,A26M997VYVK0E6,0,0,1,0,,,,"$25,001-50,000",37500,"Bachelor’s degree (for example: BA, BS)",16,california,west,3,Yes,1,Strongly agree,1,Remain the same as it is.,0,Worse,-1,Disagree,Strongly disagree,Strongly disagree,-1,-2,-2,Not likely at all,Very likely,Not likely at all,Somewhat likely,Not too likely,-2,2,-2,1,-1,Yes,1,Democrat,-1,4,Moderate,0,Agree,1,7,10,-3,98765
2019/08/07 11:41:23 PM GMT+8,A22AHPN2HZHFSV,0,0,0,1,Aug-87,1987,1987,"$0-25,000",12500,"Associate’s degree (for example: AA, AS)",14,Ohio,midwest,2,Yes,1,Strongly agree,1,Don't know.,0,Won’t affect American society one way or another,0,Neither disagree nor agree,Neither agree nor disagree,Neither agree nor disagree,0,0,0,Not too likely,Somewhat likely,Not likely at all,Not at all likely,Somewhat likely,-1,1,-2,-2,1,Yes,1,Independent,0,1,Moderate,0,Disagree,-1,2,6,-4,98765
2019/08/07 11:43:29 PM GMT+8,A17D6BK59S31BM,0,0,0,1,1989,1905,1905,"$50,001-75,000",62500,"Some college credit, but less than 1 year of college credit",12,Texas,south,1,Yes,1,Strongly agree,1,Remain the same as it is.,0,Won’t affect American society one way or another,0,Disagree,Agree,Neither agree nor disagree,-1,1,0,Somewhat likely,Not too likely,Somewhat likely,Not too likely,Somewhat likely,1,-1,1,-1,1,Yes,1,Independent,0,4,Moderate,0,Agree,1,7,5,2,98765
2019/08/07 11:43:36 PM GMT+8,A3MFK5UEUG95M3,0,0,0,1,Feb-84,1984,1984,"100,001-125,000",112500,"Bachelor’s degree (for example: BA, BS)",16,NY,northeast,0,Yes,1,Strongly agree,1,Reduced a little.,-1,Won’t affect American society one way or another,0,Neither disagree nor agree,Strongly disagree,Strongly disagree,0,-2,-2,Not likely at all,Somewhat likely,Not likely at all,Somewhat likely,Not likely at all,-2,1,-2,1,-2,Yes,1,Democrat,-1,4,Liberal,-2,Disagree,-1,6,6,0,98765
2019/08/07 11:43:47 PM GMT+8,A2XQ3CFB5HT2ZQ,0,1,0,1,662,1901,1901,"$50,001-75,000",62500,"Bachelor’s degree (for example: BA, BS)",16,arizona,west,3,Yes,1,Strongly agree,1,Remain the same as it is.,0,Better,1,Strongly Disagree,Agree,Strongly disagree,-2,1,-2,Not too likely,Somewhat likely,Not likely at all,Not too likely,Not likely at all,-1,1,-2,-1,-2,Yes,1,Democrat,-1,1,Liberal,-2,Disagree strongly,-2,8,8,0,98765
2019/08/07 11:45:36 PM GMT+8,A37S96RT1P1IT2,0,1,0,0,May-83,1983,1983,"$0-25,000",12500,"Bachelor’s degree (for example: BA, BS)",16,Florida,south,1,Yes,1,Strongly agree,1,Remain the same as it is.,0,Won’t affect American society one way or another,0,Agree,Agree,Strongly disagree,1,1,-2,Not too likely,Somewhat likely,Not likely at all,Not too likely,Somewhat likely,-1,1,-2,-1,1,No,0,Independent,0,4,Moderate,0,Disagree,-1,6,6,0,98765
2019/08/07 11:45:47 PM GMT+8,A1L3937MY09J3I,0,0,0,1,Feb-83,1983,1983,"$50,001-75,000",62500,"Bachelor’s degree (for example: BA, BS)",16,Florida,south,1,Yes,1,Strongly agree,1,Increased a little.,1,Better,1,Disagree,Disagree,Disagree,-1,-1,-1,Not likely at all,Somewhat likely,Not likely at all,Somewhat likely,Not likely at all,-2,1,-2,1,-2,Yes,1,Independent,0,4,Slightly conservative,1,Disagree,-1,9,9,0,98765
2019/08/07 11:49:53 PM GMT+8,AK1114SDSV2X4,0,0,0,1,May-84,1984,1984,"$75,001-100,000",87500,"Some college credit, but less than 1 year of college credit",12,califorina,west,3,Yes,1,Strongly disagree,0,Increased a little.,1,Worse,-1,Agree,Neither agree nor disagree,Agree,1,0,1,Very likely,Somewhat likely,Not too likely,Somewhat likely,Somewhat likely,2,1,-1,1,1,Yes,1,Independent,0,5,Slightly liberal,-1,Agree,1,7,9,-2,it will hurt them most
2019/08/07 11:52:05 PM GMT+8,AEQ6KLNVTRKKR,0,0,1,0,Aug-85,1985,1985,"$25,001-50,000",37500,Regular high school diploma,18,California,west,3,Yes,1,Strongly agree,1,Reduced a lot.,-2,Won’t affect American society one way or another,0,Strongly agree,Strongly agree,Strongly agree,2,2,2,Very likely,Not likely at all,Very likely,Not at all likely,Somewhat likely,2,-2,2,-2,1,No,0,Independent,0,4,Moderate,0,Disagree strongly,-2,10,10,0,98765
2019/08/07 11:53:32 PM GMT+8,A2PMT4061B1NDP,0,1,0,1,Jul-88,1988,1988,"$25,001-50,000",37500,"Some college credit, but less than 1 year of college credit",12,WV,south,1,Yes,1,Strongly agree,1,Increased a lot.,2,Better,1,Strongly Disagree,Agree,Strongly disagree,-2,1,-2,Not too likely,Very likely,Not too likely,Very likely,Not likely at all,-1,2,-1,2,-2,Yes,1,Democrat,-1,2,Slightly liberal,-1,Agree,1,9,9,0,98765
2019/08/07 11:56:32 PM GMT+8,A2SO6K35NMGBB7,0,0,0,1,Feb-80,1980,1980,"$75,001-100,000",87500,"Bachelor’s degree (for example: BA, BS)",16,illinois,midwest,2,Yes,1,Strongly agree,1,Reduced a little.,-1,Worse,-1,Strongly agree,Strongly agree,Agree,2,2,1,Somewhat likely,Not too likely,Very likely,Not at all likely,Somewhat likely,1,-1,2,-2,1,Yes,1,Republican,1,6,Liberal,-2,Disagree,-1,7,5,2,ok
2019/08/08 12:03:50 AM GMT+8,A2EI075XZT9Y2S,0,0,0,1,Mar-77,1977,1977,"$0-25,000",12500,GED or alternative credential,13,NH,northeast,0,Yes,1,Strongly agree,1,Reduced a lot.,-2,Worse,-1,Disagree,Disagree,Disagree,-1,-1,-1,Somewhat likely,Not too likely,Not too likely,Not at all likely,Somewhat likely,1,-1,-1,-2,1,Yes,1,Independent,0,4,Moderate,0,Disagree,-1,8,8,0,98765
2019/08/08 12:05:08 AM GMT+8,AWNQ9E62XRB0O,0,0,0,1,Mar-98,1998,1998,"$25,001-50,000",37500,Regular high school diploma,18,Florida,south,1,Yes,1,Strongly agree,1,Reduced a little.,-1,Won’t affect American society one way or another,0,Disagree,Disagree,Disagree,-1,-1,-1,Not likely at all,Somewhat likely,Not likely at all,Not too likely,Not too likely,-2,1,-2,-1,-1,Yes,1,Democrat,-1,3,Liberal,-2,Disagree strongly,-2,6,9,-3,98765
2019/08/08 12:15:16 AM GMT+8,A1PB9RGHUXNVP6,0,1,0,1,,1900,1900,"100,001-125,000",112500,"Bachelor’s degree (for example: BA, BS)",16,Delaware ,south ,1,Yes,1,Strongly agree,1,Reduced a little.,-1,Better,1,Agree,Agree,Agree,1,1,1,Very likely,Not likely at all,Somewhat likely,Somewhat likely,Somewhat likely,2,-2,1,1,1,Yes,1,Republican,1,4,Liberal,-2,Agree,1,8,7,1,98765
2019/08/08 12:16:23 AM GMT+8,A3RYI5HXC2MJLN,0,0,1,0,janurary 1981,1981,1981,"$0-25,000",12500,"Some college credit, but less than 1 year of college credit",12,texas,south,1,Yes,1,Strongly agree,1,Remain the same as it is.,0,Better,1,Disagree,Agree,Strongly disagree,-1,1,-2,Not likely at all,Somewhat likely,Not likely at all,Somewhat likely,Not likely at all,-2,1,-2,1,-2,Yes,1,Democrat,-1,4,Moderate,0,Agree,1,8,8,0,98765 unsure what goes here
2019/08/08 12:19:52 AM GMT+8,A1JJYY622DGE5L,0,1,0,1,May-75,1975,1975,"$0-25,000",12500,"Associate’s degree (for example: AA, AS)",14,OH,midwest,2,Yes,1,Strongly agree,1,Increased a little.,1,Won’t affect American society one way or another,0,Disagree,Disagree,Disagree,-1,-1,-1,Not too likely,Very likely,Not too likely,Somewhat likely,Not too likely,-1,2,-1,1,-1,Yes,1,Democrat,-1,4,Slightly liberal,-1,Disagree,-1,6,6,0,98765
2019/08/08 12:21:22 AM GMT+8,A5T55XDZS310V,0,0,1,0,1/1/89,1989,1989,"$50,001-75,000",62500,"Professional degree beyond a bachelor’s degree (for example MD, DDS, DVM, LLB, JD)",19,MONTANA,midwest,2,Yes,1,Strongly agree,1,Increased a little.,1,Better,1,Strongly agree,Agree,Strongly agree,2,1,2,Somewhat likely,Very likely,Very likely,Somewhat likely,Very likely,1,2,2,1,2,Yes,1,Republican,1,7,Conservative,2,Agree,1,10,10,0,A5T55XDZS310V
2019/08/08 12:27:23 AM GMT+8,A1J8TVICSRC70W,0,1,0,1,9/18/92,1992,1992,"$50,001-75,000",62500,"Bachelor’s degree (for example: BA, BS)",16,PA,northeast,0,Yes,1,Strongly agree,1,Remain the same as it is.,0,Won’t affect American society one way or another,0,Agree,Agree,Neither agree nor disagree,1,1,0,Not likely at all,Somewhat likely,Not too likely,Not too likely,Somewhat likely,-2,1,-1,-1,1,Yes,1,Democrat,-1,3,Slightly liberal,-1,Disagree,-1,6,5,1,98765
2019/08/08 12:33:46 AM GMT+8,A16OH8XXYY0AAS,0,0,0,1,Jul-94,1994,1994,"$0-25,000",12500,Regular high school diploma,18,Florida,south,1,Yes,1,Strongly agree,1,Remain the same as it is.,0,Won’t affect American society one way or another,0,Strongly Disagree,Neither agree nor disagree,Strongly disagree,-2,0,-2,Don't know,Somewhat likely,Not likely at all,Somewhat likely,Not likely at all,0,1,-2,1,-2,Yes,1,Independent,0,4,Moderate,0,Disagree strongly,-2,6,6,0,98765
2019/08/08 12:33:46 AM GMT+8,A22IIMLQ7K4B3M,0,1,0,1,Apr-91,1991,1991,"$25,001-50,000",37500,"Bachelor’s degree (for example: BA, BS)",16,Texas,south,1,Yes,1,Strongly agree,1,Reduced a lot.,-2,Won’t affect American society one way or another,0,Neither disagree nor agree,Agree,Strongly disagree,0,1,-2,Not too likely,Very likely,Not likely at all,Somewhat likely,Not likely at all,-1,2,-2,1,-2,Yes,1,Independent,0,3,Liberal,-2,Disagree,-1,5,10,-5,98765
2019/08/08 12:34:38 AM GMT+8,AP9WIQ4P78XLH,0,0,0,1,Apr-71,1971,1971,"$75,001-100,000",87500,"Bachelor’s degree (for example: BA, BS)",16,WV,south,1,Yes,1,Strongly agree,1,Remain the same as it is.,0,Won’t affect American society one way or another,0,Disagree,Neither agree nor disagree,Disagree,-1,0,-1,Not likely at all,Very likely,Not too likely,Don't know,Not too likely,-2,2,-1,0,-1,Yes,1,Independent,0,2,Moderate,0,Disagree strongly,-2,6,6,0,98765
2019/08/08 12:37:14 AM GMT+8,A3QJJR5Y3XE92N,0,0,0,1,Mar-81,1981,1981,"$0-25,000",12500,"Professional degree beyond a bachelor’s degree (for example MD, DDS, DVM, LLB, JD)",19,CA,west,3,Yes,1,Strongly disagree,0,Reduced a lot.,-2,Won’t affect American society one way or another,0,Disagree,Disagree,Disagree,-1,-1,-1,Somewhat likely,Very likely,Not likely at all,Somewhat likely,Not too likely,1,2,-2,1,-1,Yes,1,Democrat,-1,1,Liberal,-2,Disagree,-1,7,5,2,98765
2019/08/08 12:38:23 AM GMT+8,A2S75O867RJG0I,0,0,1,0,Oct-94,1994,1994,"$0-25,000",12500,"Bachelor’s degree (for example: BA, BS)",16,Missouri,south,1,Yes,1,Strongly agree,1,Reduced a lot.,-2,Worse,-1,Strongly agree,Strongly agree,Disagree,2,2,-1,Not too likely,Don't know,Not likely at all,Somewhat likely,Don't know,-1,0,-2,1,0,Yes,1,Republican,1,6,Conservative,2,Agree strongly,2,9,8,1,98765
2019/08/08 12:42:20 AM GMT+8,A30MP4LXV4MIFD,0,0,0,1,8/2/87,1987,1987,"$0-25,000",12500,"Some college credit, but less than 1 year of college credit",12,KY,south,1,Yes,1,Strongly agree,1,Reduced a lot.,-2,Worse,-1,Disagree,Disagree,Disagree,-1,-1,-1,Not too likely,Somewhat likely,Not too likely,Somewhat likely,Not too likely,-1,1,-1,1,-1,No,0,Democrat,-1,3,Slightly liberal,-1,Disagree,-1,8,7,1,98765
2019/08/08 12:43:07 AM GMT+8,A20RVM3V1A3DKX,0,0,0,1,May-64,1964,1964,"$25,001-50,000",37500,Regular high school diploma,18,Washington,west,3,Yes,1,Strongly agree,1,Remain the same as it is.,0,Better,1,Disagree,Agree,Disagree,-1,1,-1,Not too likely,Somewhat likely,Not too likely,Somewhat likely,Not likely at all,-1,1,-1,1,-2,Yes,1,Independent,0,3,Moderate,0,Disagree,-1,10,9,1,98765
2019/08/08 12:50:04 AM GMT+8,A1HAOXJVRYT43K,0,0,0,1,Sep-93,1993,1993,"$25,001-50,000",37500,Regular high school diploma,18,nc,south,1,Yes,1,Strongly agree,1,Remain the same as it is.,0,Better,1,Disagree,Neither agree nor disagree,Strongly disagree,-1,0,-2,Not too likely,Somewhat likely,Not likely at all,Somewhat likely,Not likely at all,-1,1,-2,1,-2,Yes,1,Republican,1,5,Moderate,0,Disagree,-1,10,10,0,98765
2019/08/08 12:55:26 AM GMT+8,A2ZGRB5DEGOG9C,0,0,0,1,Jun-83,1983,1983,"$25,001-50,000",37500,Nursery or preschool through grade 12,12,Florida,south,1,Yes,1,Strongly agree,1,Remain the same as it is.,0,Won’t affect American society one way or another,0,Strongly Disagree,Strongly disagree,Strongly disagree,-2,-2,-2,Not too likely,Somewhat likely,Not too likely,Not too likely,Not too likely,-1,1,-1,-1,-1,Yes,1,Democrat,-1,3,Extremely liberal,-3,Disagree,-1,7,9,-2,98765
2019/08/08 1:01:48 AM GMT+8,A3PRZRK9IC5CBI,0,0,0,1,Aug-74,1974,1974,"$25,001-50,000",37500,Regular high school diploma,18,California,west,3,Yes,1,Strongly agree,1,Reduced a lot.,-2,Worse,-1,Strongly agree,Strongly agree,Strongly agree,2,2,2,Somewhat likely,Not likely at all,Somewhat likely,Not at all likely,Very likely,1,-2,1,-2,2,No,0,Republican,1,7,Extremely conservative,3,Agree,1,10,5,5,98765
